Nombre,Apellido_Paterno,Apellido Materno,Fecha de nacimiento,Sexo,Estado,Curp
LIDIA,MORENO,MORALES,50/03/29,M,CL,MOML50/03/29MCLRRD70
ANGELICA,MALDONADO,BRAVO,84/03/29,M,GT,MABA84/03/29MGTLRN45
FELIPE,MIRANDA,PENA,56/10/21,H,MO,MIPF56/10/21HMORNL50
LORENZO,CORTES,MENDOZA,45/07/29,H,VE,COML45/07/29HVERNR86
IRENE,MEDINA,RUIZ,92/08/03,M,BC,MERI92/08/03MBCDZR05
CECILIA,AVILA,RIOS,76/03/30,M,DG,AIRC76/03/30MDGVSC61
PABLO,DELGADO,MALDONADO,84/09/09,H,CX,DEMP84/09/09HCXLLB20
MARCO,ESQUIVEL,ZAVALA,84/01/21,H,TB,EUZM84/01/21HTBSVR67
NESTOR,GUZMAN,VAZQUEZ,88/02/12,H,GR,GUVN88/02/12HGRZZS38
FLOR,LOZANO,LOAIZA,47/05/19,M,DG,LOLF47/05/19MDGZZL26
EMILY,CUEVAS,GOMEZ,59/01/22,M,SL,CUGE59/01/22MSLVMM58
JOSE,VILLARREAL,ROBLES,58/06/26,H,YU,VIRJ58/06/26HYULBS62
LIDIA,VILLALOBOS,GOMEZ,96/10/02,M,MI,VIGL96/10/02MMILMD11
EMILIANO,VALDEZ,BAUTISTA,79/04/08,H,PU,VABE79/04/08HPULTM49
FIDEL,MEJIA,CHAVEZ,69/08/29,H,GT,MECF69/08/29HGTJHD49
FERNANDO,MONTOYA,MEDINA,57/08/25,H,SL,MOMF57/08/25HSLNDR62
ERICK,LARA,PACHECO,74/09/22,H,VE,LAPE74/09/22HVERCR86
ALEXANDRA,RUIZ,MEDINA,04/08/25,M,CL,RUMA04/08/25MCLZDL86
EMILIA,MIRANDA,LUNA,06/03/17,M,BS,MILE06/03/17MBSRNM88
ANTONIA,TREVINO,CHAVEZ,73/06/21,M,GR,TECA73/06/21MGRRHN81
ALEXANDRA,VALENCIA,BUSTOS,87/01/14,M,CL,VABA87/01/14MCLLSL47
AURORA,OBREGON,BENITEZ,76/10/15,M,GR,OEBA76/10/15MGRBNR34
EMILY,VILLALOBOS,CHAVEZ,00/12/03,M,CH,VICE00/12/03MCHLHM10
ALDO,RANGEL,CISNEROS,99/01/12,H,MI,RACA99/01/12HMINSL42
CLARA,ZAVALA,ESCOBAR,98/10/30,M,CM,ZAEC98/10/30MCMVSL44
JOSE,CHAVEZ,CUEVAS,93/02/28,H,BS,CACJ93/02/28HBSHVS38
